80	0
100	0
120	0
140	0
40	20
60	20
80	20
100	20
120	20
140	20
160	20
180	20
20	40
40	40
60	40
80	40
100	40
120	40
140	40
160	40
180	40
200	40
20	60
40	60
60	60
80	60
100	60
120	60
140	60
160	60
180	60
200	60
0	80
20	80
40	80
60	80
80	80
140	80
160	80
180	80
200	80
220	80
0	100
20	100
40	100
60	100
160	100
180	100
200	100
220	100
0	120
20	120
40	120
60	120
160	120
180	120
200	120
220	120
0	140
20	140
40	140
60	140
80	140
140	140
160	140
180	140
200	140
220	140
20	160
40	160
60	160
80	160
100	160
120	160
140	160
160	160
180	160
200	160
20	180
40	180
60	180
80	180
100	180
120	180
140	180
160	180
180	180
200	180
40	200
60	200
80	200
100	200
120	200
140	200
160	200
180	200
80	220
100	220
120	220
140	220
